company_name,code,market
上海改革,510820,shanghai
工银上50,510850,shanghai
红利ETF,510880,shanghai
红利低波,510890,shanghai
H股ETF,510900,shanghai
国债ETF,511010,shanghai
活跃国债,511020,shanghai
公司债,511030,shanghai
企债ETF,511210,shanghai
城投ETF,511220,shanghai
周期债,511230,shanghai
十年国债,511260,shanghai
10年地债,511270,shanghai
中期信用,511280,shanghai
国债十年,511290,shanghai
十年债,511310,shanghai
货币ETF,511600,shanghai
货币基金,511620,shanghai
华夏快线,511650,shanghai
建信添益,511660,shanghai
华泰天金,511670,shanghai
安信货币,511680,shanghai
交易货币,511690,shanghai
场内货币,511700,shanghai
德邦货币,511760,shanghai
金鹰增益,511770,shanghai
易货币,511800,shanghai
理财金H,511810,shanghai
鹏华添利,511820,shanghai
华泰货币,511830,shanghai
财富宝E,511850,shanghai
博时货币,511860,shanghai
银华日利,511880,shanghai
景顺货币,511890,shanghai
富国货币,511900,shanghai
融通货币,511910,shanghai
广发货币,511920,shanghai
中融日盈,511930,shanghai
广发添利,511950,shanghai
嘉实快线,511960,shanghai
国寿货币,511970,shanghai
现金添富,511980,shanghai
华宝添益,511990,shanghai
券商ETF,512000,shanghai
医药ETF,512010,shanghai
国信价值,512040,shanghai
非银ETF,512070,shanghai
MSCI易基,512090,shanghai
1000ETF,512100,shanghai
中证地产,512110,shanghai
医药50,512120,shanghai
A50ETF,512150,shanghai
MSCI基金,512160,shanghai
医疗ETF,512170,shanghai
建信MSCI,512180,shanghai
之江凤凰,512190,shanghai
房地产,512200,shanghai
景顺食品,512210,shanghai
景顺TMT,512220,shanghai
景顺医药,512230,shanghai
500低波,512260,shanghai
300低波,512270,shanghai
景顺MSCI,512280,shanghai
生物医药,512290,shanghai
500医药,512300,shanghai
500工业,512310,shanghai
500信息,512330,shanghai
500原料,512340,shanghai
MSCI国际,512360,shanghai
银华MSCI,512380,shanghai
MSCI低波,512390,shanghai
有色金属,512400,shanghai
半导体,512480,shanghai
中证500,512500,shanghai
ETF500,512510,shanghai
MSCIETF,512520,shanghai
富时A50,512550,shanghai
中证军工,512560,shanghai
中证证券,512570,shanghai
环保ETF,512580,shanghai
高股息,512590,shanghai
主要消费,512600,shanghai
医药卫生,512610,shanghai
金融地产,512640,shanghai
军工ETF,512660,shanghai
国防ETF,512670,shanghai
军工基金,512680,shanghai
酒ETF,512690,shanghai
银行基金,512700,shanghai
军工龙头,512710,shanghai
计算机,512720,shanghai
基本面50,512750,shanghai
半导体50,512760,shanghai
战略新兴,512770,shanghai
京津冀基,512780,shanghai
民企成长,512790,shanghai
银行ETF,512800,shanghai
军工行业,512810,shanghai
银行股基,512820,shanghai
北京50,512850,shanghai
MSCI中国,512860,shanghai
